,suffix,derivtype,stemtype,stemclass,misc
0,pt,ptw,w_stem,pp_pr,na
1,y,ptw,reg_fut,pp_fu,na
2,y,ptw,aor1,pp_ao,na
3,f,ptw,perf_act,pp_pf,na
4,*,ptw,perfp_p,pp_pp,na
5,fq,ptw,aor_pass,pp_ap,na
6,f,ptw,aor2_pass,pp_ap,na
7,b,ptw,aor2_pass,pp_ap,na
8,p,ptw,aor2_pass,pp_ap,na
9,y,ptw,fut_perf,pp_fp,na
10,pt,ptw,os_on,adj2,na
11,sk,skw,w_stem,pp_pr,na
12,c,skw,reg_fut,pp_fu,na
13,s,skw,reg_fut,pp_fu,na
14,ss,skw,reg_fut,pp_fu,epic
15,c,skw,aor1,pp_ao,na
16,s,skw,aor1,pp_ao,na
17,ss,skw,aor1,pp_ao,epic
18,x,skw,perf_act,pp_pf,na
19,*,skw,perfp_g,pp_pp,na
20,xq,skw,aor_pass,pp_ap,na
21,sq,skw,aor_pass,pp_ap,na
22,kt,skw,os_on,adj2,na
23,az,azw,w_stem,pp_pr,na
24,asd,azw,w_stem,pp_pr,doric aeolic
25,as,azw,reg_fut,pp_fu,na
26,ac,azw,reg_fut,pp_fu,na
27,ac,azw,ew_fut,pp_fu,doric
28,ass,azw,reg_fut,pp_fu,epic
29,*,azw,aw_fut,pp_fu,na
30,as,azw,aor1,pp_ao,na
31,ac,azw,aor1,pp_ao,na
32,ass,azw,aor1,pp_ao,na
33,ak,azw,perf_act,pp_pf,na
34,a,azw,perfp_d,pp_pp,na
35,a,azw,perfp_g,pp_pp,na
36,asq,azw,aor_pass,pp_ap,na
37,axq,azw,aor_pass,pp_ap,na
38,ast,azw,os_on,adj2,na
39,akt,azw,os_on,adj2,na
40,asm,azw,wn_on,adj3,na
41,adm,azw,wn_on,adj3,doric ionic
42,asm,azw,wn_on,adj3,na
43,ss,ss,w_stem,pp_pr,na
44,sd,ss,w_stem,pp_pr,doric
45,tt,ss,w_stem,pp_pr,attic
46,c,ss,reg_fut,pp_fu,na
47,c,ss,aor1,pp_ao,na
48,x,ss,perf_act,pp_pf,na
49,*,ss,perfp_g,pp_pp,na
50,xq,ss,aor_pass,pp_ap,na
51,g,ss,aor_pass,pp_ap,na
52,c,ss,fut_perf,pp_fp,na
53,kt,ss,os_on,adj2,na
54,an,anw,w_stem,pp_pr,na
55,*,anw,w_stem,pp_pr,na
56,a_s,anw,reg_fut,pp_fu,attic r_e_i_alpha
57,hs,anw,reg_fut,pp_fu,na
58,*,anw,aor2,pp_ao,na
59,a_s,anw,aor1,pp_ao,attic r_e_i_alpha
60,hs,anw,aor1,pp_ao,na
61,a_k,anw,perf_act,pp_pf,attic r_e_i_alpha
62,hk,anw,perf_act,pp_pf,na
63,a_,anw,perfp_vow,pp_pp,attic r_e_i_alpha
64,h,anw,perfp_vow,pp_pp,na
65,a_q,anw,aor_pass,pp_ap,attic r_e_i_alpha
66,hq,anw,aor_pass,pp_ap,na
67,a_t,anw,os_on,adj2,attic r_e_i_alpha
68,ht,anw,os_on,adj2,na
69,a_t,anw,verb_adj1,adj2,attic r_e_i_alpha
70,ht,anw,verb_adj1,adj2,na
71,u_r,urw,w_stem,pp_pr,na
72,u^r,urw,ew_fut,pp_fu,na
73,u_r,urw,aor1,pp_ao,na
74,urs,urw,aor1,pp_ao,epic
75,urk,urw,perf_act,pp_pf,na
76,u,urw,perfp_r,pp_pp,na
77,urq,urw,aor_pass,pp_ap,na
78,ur,urw,aor2_pass,pp_ap,na
79,urs,urw,fut_perf,pp_fp,na
80,ain,ainw,w_stem,pp_pr,na
81,an,ainw,ew_fut,pp_fu,na
82,a_s,ainw,reg_fut,pp_fu,attic r_e_i_alpha
83,hs,ainw,reg_fut,pp_fu,na
84,a_n,ainw,aor1,pp_ao,attic r_e_i_alpha
85,hn,ainw,aor1,pp_ao,na
86,a_n,ainw,aor1,pp_ao,epic doric aeolic
87,an,ainw,aor2,pp_ao,na
88,a_s,ainw,aor1,pp_ao,attic r_e_i_alpha
89,hs,ainw,aor1,pp_ao,na
90,a_n,ainw,perf_act,pp_pf,attic r_e_i_alpha
91,hn,ainw,perf_act,pp_pf,na
92,agk,ainw,perf_act,pp_pf,na
93,a,ainw,perfp_n,pp_pp,na
94,a_,ainw,perfp_n,pp_pp,na
95,a_,ainw,perfp_vow,pp_pp,attic r_e_i_alpha
96,h,ainw,perfp_vow,pp_pp,na
97,a,ainw,perfp_p,pp_pp,na
98,anq,ainw,aor_pass,pp_ap,na
99,ant,ainw,os_on,adj2,na
100,a^n,ainw,hs_es,adj3,na
101,*,a_stem,aw_pr,pp_pr,na
102,*,a_stem,ami_pr,pp_pr,na
103,ai,a_stem,w_stem,pp_pr,na
104,*,a_stem,ew_pr,pp_pr,ionic
105,*,a_stem,ajw_pr,pp_pr,na
106,*,a_stem,ami_short,pp_pr,na
107,a_,a_stem,ath_primary,pp_pr,attic r_e_i_alpha
108,h,a_stem,ath_primary,pp_pr,na
109,a_,a_stem,ath_primary,pp_pr,na
110,ask,a_stem,w_stem,pp_pr,na
111,a_sk,a_stem,w_stem,pp_pr,attic r_e_i_alpha
112,hsk,a_stem,w_stem,pp_pr,na
